Season,Rank,Team,Record,Margin 3 Less,Margin 10 or More
2012,17,Houston Rockets,34-32,8-5,13-13
2012,18,Phoenix Suns,33-33,8-5,14-19
2012,19,Milwaukee Bucks,31-35,4-6,13-12
2012,20,Portland Trail Blazers,28-38,3-11,17-17
2012,21,Minnesota Timberwolves,26-40,7-7,13-16
2012,22,Detroit Pistons,25-41,7-4,12-27
2012,23,Golden State Warriors,23-43,5-12,7-16
2012,24,Toronto Raptors,23-43,1-7,12-21
2012,25,New Jersey Nets,22-44,6-2,8-26
2012,26,Sacramento Kings,22-44,6-7,6-24
2012,27,Cleveland Cavaliers,21-45,5-6,9-26
2012,28,New Orleans Hornets,21-45,4-9,6-19
2012,29,Washington Wizards,20-46,6-5,11-26
2012,30,Charlotte Bobcats,7-59,2-4,2-38
2013,1,Miami Heat,66-16,9-3,39-8
2013,2,Oklahoma City Thunder,60-22,3-6,44-6
2013,3,San Antonio Spurs,58-24,9-5,31-10
2013,4,Denver Nuggets,57-25,11-7,28-8
2013,5,Los Angeles Clippers,56-26,3-5,38-12
2013,6,Memphis Grizzlies,56-26,6-4,28-9
2013,7,New York Knicks,54-28,7-5,31-12
2013,8,Brooklyn Nets,49-33,9-4,23-17
2013,9,Indiana Pacers,49-32,4-9,27-14
2013,10,Golden State Warriors,47-35,5-3,20-18
2013,11,Chicago Bulls,45-37,11-7,16-16
2013,12,Houston Rockets,45-37,5-5,26-13
2013,13,Los Angeles Lakers,45-37,8-5,18-17
2013,14,Atlanta Hawks,44-38,5-5,19-20
2013,15,Utah Jazz,43-39,5-7,19-21
2013,16,Boston Celtics,41-40,8-7,18-23
2013,17,Dallas Mavericks,41-41,5-8,17-19
2013,18,Milwaukee Bucks,38-44,7-5,13-25
2013,19,Philadelphia 76ers,34-48,4-5,13-24
2013,20,Toronto Raptors,34-48,8-8,16-22
2013,21,Portland Trail Blazers,33-49,9-6,13-24
2013,22,Minnesota Timberwolves,31-51,3-10,15-26
2013,23,Detroit Pistons,29-53,6-10,15-29
2013,24,Washington Wizards,29-53,6-9,13-17
2013,25,Sacramento Kings,28-54,7-3,12-31
2013,26,New Orleans Hornets,27-55,7-5,10-27
2013,27,Phoenix Suns,25-57,6-8,10-31
2013,28,Cleveland Cavaliers,24-58,6-11,7-27
2013,29,Charlotte Bobcats,21-61,6-6,6-37
2013,30,Orlando Magic,20-62,2-9,8-30
2014,1,San Antonio Spurs,62-20,7-0,35-12
2014,2,Oklahoma City Thunder,59-23,10-4,33-8
2014,3,Los Angeles Clippers,57-25,4-3,30-9
2014,4,Indiana Pacers,56-26,4-3,29-17
2014,5,Houston Rockets,54-28,7-6,30-9
2014,6,Miami Heat,54-28,8-7,29-10
2014,7,Portland Trail Blazers,54-28,8-9,24-13
2014,8,Golden State Warriors,51-31,11-8,28-9
2014,9,Memphis Grizzlies,50-32,10-4,18-13
2014,10,Dallas Mavericks,49-33,11-11,23-10
2014,11,Chicago Bulls,48-34,6-5,27-19
2014,12,Toronto Raptors,48-34,3-8,24-6
2014,13,Phoenix Suns,48-34,2-9,19-7
2014,14,Brooklyn Nets,44-38,8-3,17-20
2014,15,Washington Wizards,44-38,5-9,19-14
2014,16,Charlotte Bobcats,43-39,8-8,18-19
2014,17,Minnesota Timberwolves,40-42,5-6,26-18
2014,18,Atlanta Hawks,38-44,8-9,15-16
2014,19,New York Knicks,37-45,3-8,19-22
2014,20,Denver Nuggets,36-46,8-5,16-24
2014,21,New Orleans Pelicans,34-48,7-8,10-21
2014,22,Cleveland Cavaliers,33-49,7-5,13-27
2014,23,Detroit Pistons,29-53,2-6,16-25
2014,24,Sacramento Kings,28-54,4-9,12-26
2014,25,Los Angeles Lakers,27-55,5-5,12-33
2014,26,Boston Celtics,25-57,5-9,9-23
2014,27,Utah Jazz,25-57,5-4,9-39
2014,28,Orlando Magic,23-59,5-7,10-30
2014,29,Philadelphia 76ers,19-63,6-3,4-46
2014,30,Milwaukee Bucks,15-67,4-5,4-33
2015,1,Golden State Warriors,67-15,5-3,45-9
2015,2,Atlanta Hawks,60-22,6-4,30-10
2015,3,Houston Rockets,56-26,8-4,31-14
2015,4,Los Angeles Clippers,56-26,3-5,33-9
2015,5,Memphis Grizzlies,55-27,9-3,26-13
2015,6,San Antonio Spurs,55-27,6-7,34-7
2015,7,Cleveland Cavaliers,53-29,6-4,30-14
2015,8,Portland Trail Blazers,51-31,5-1,30-11
2015,9,Chicago Bulls,50-32,7-2,20-16
2015,10,Dallas Mavericks,50-32,5-4,22-18
2015,11,Toronto Raptors,49-33,6-5,29-11
2015,12,Washington Wizards,46-36,9-4,21-14
2015,13,New Orleans Pelicans,45-37,10-4,19-14
2015,14,Oklahoma City Thunder,45-37,4-8,26-14
2015,15,Milwaukee Bucks,41-41,5-9,17-16
2015,16,Boston Celtics,40-42,8-6,17-14
2015,17,Phoenix Suns,39-43,4-12,14-19
2015,18,Brooklyn Nets,38-44,10-2,15-23
2015,19,Indiana Pacers,38-44,4-12,19-20
2015,20,Utah Jazz,38-44,5-10,18-19
2015,21,Miami Heat,37-45,4-10,15-28
2015,22,Charlotte Hornets,33-49,6-8,13-22
2015,23,Detroit Pistons,32-50,7-6,19-25
2015,24,Denver Nuggets,30-52,4-4,17-28
2015,25,Sacramento Kings,29-53,6-4,12-28
2015,26,Orlando Magic,25-57,6-8,4-27
2015,27,Los Angeles Lakers,21-61,6-6,5-30
2015,28,Philadelphia 76ers,18-64,3-7,5-41
2015,29,New York Knicks,17-65,2-7,3-39
2015,30,Minnesota Timberwolves,16-66,6-6,4-40
2016,1,Golden State Warriors,73-9,7-2,44-5
2016,2,San Antonio Spurs,67-15,4-4,44-6
2016,3,Cleveland Cavaliers,57-25,4-7,32-8
2016,4,Toronto Raptors,56-26,6-6,28-10
2016,5,Oklahoma City Thunder,55-27,8-6,33-5
2016,6,Los Angeles Clippers,53-29,8-4,28-15
2016,7,Atlanta Hawks,48-34,5-7,29-17
2016,8,Boston Celtics,48-34,5-7,26-13
2016,9,Charlotte Hornets,48-34,6-5,25-17
2016,10,Miami Heat,48-34,7-5,24-20
2016,11,Indiana Pacers,45-37,9-9,21-13
2016,12,Detroit Pistons,44-38,6-5,21-20
2016,13,Portland Trail Blazers,44-38,2-7,23-21
2016,14,Dallas Mavericks,42-40,6-11,19-18
2016,15,Memphis Grizzlies,42-40,8-3,15-23
2016,16,Chicago Bulls,42-40,10-4,14-19
2016,17,Houston Rockets,41-41,5-8,14-18
2016,18,Washington Wizards,41-41,7-6,22-22
2016,19,Utah Jazz,40-42,6-8,23-13
2016,20,Orlando Magic,35-47,6-10,12-20
2016,21,Denver Nuggets,33-49,10-5,11-21
2016,22,Milwaukee Bucks,33-49,6-4,12-27
2016,23,Sacramento Kings,33-49,8-4,11-19
2016,24,New York Knicks,32-50,4-7,14-23
2016,25,New Orleans Pelicans,30-52,5-5,11-23
2016,26,Minnesota Timberwolves,29-53,7-7,9-23
2016,27,Phoenix Suns,23-59,4-5,10-32
2016,28,Brooklyn Nets,21-61,7-4,6-34
2016,29,Los Angeles Lakers,17-65,2-7,4-44
2016,30,Philadelphia 76ers,10-72,0-6,5-41
2017,1,Golden State Warriors,67-15,3-4,48-6
2017,2,San Antonio Spurs,61-21,8-5,30-8
2017,3,Houston Rockets,55-27,8-3,30-11
2017,4,Boston Celtics,53-29,7-6,17-11
2017,5,Cleveland Cavaliers,51-31,3-4,25-15
2017,6,Los Angeles Clippers,51-31,3-6,33-14
2017,7,Toronto Raptors,51-31,8-7,26-8
2017,8,Utah Jazz,51-31,4-4,23-10
2017,9,Washington Wizards,49-33,9-6,18-12
2017,10,Oklahoma City Thunder,47-35,12-7,23-21
2017,11,Atlanta Hawks,43-39,7-8,17-21
2017,12,Memphis Grizzlies,43-39,7-5,17-20
2017,13,Indiana Pacers,42-40,4-2,23-19
2017,14,Milwaukee Bucks,42-40,8-2,21-22
2017,15,Chicago Bulls,41-41,5-6,17-23
2017,16,Portland Trail Blazers,41-41,7-11,18-16
2017,17,Miami Heat,41-41,8-6,19-13
2017,18,Denver Nuggets,40-42,5-10,24-19
2017,19,Detroit Pistons,37-45,5-7,23-26
2017,20,Charlotte Hornets,36-46,0-9,19-18
2017,21,New Orleans Pelicans,34-48,7-6,17-22
2017,22,Dallas Mavericks,33-49,4-6,14-26
2017,23,Sacramento Kings,32-50,10-6,9-27
2017,24,Minnesota Timberwolves,31-51,7-10,18-19
2017,25,New York Knicks,31-51,7-10,10-25
2017,26,Orlando Magic,29-53,5-5,10-32
2017,27,Philadelphia 76ers,28-54,9-8,7-29
2017,28,Los Angeles Lakers,26-56,2-4,14-31
2017,29,Phoenix Suns,24-58,9-5,7-32
2017,30,Brooklyn Nets,20-62,3-6,9-30
2018,1,Houston Rockets,65-17,5-3,38-8
2018,2,Toronto Raptors,59-23,5-7,33-5
2018,3,Golden State Warriors,58-24,5-1,38-13
2018,4,Boston Celtics,55-27,11-8,25-9
2018,5,Philadelphia 76ers,52-30,4-7,31-11
2018,6,Cleveland Cavaliers,50-32,8-5,17-20
2018,7,Portland Trail Blazers,49-33,8-8,20-12
2018,8,Indiana Pacers,48-34,11-2,20-16
2018,9,New Orleans Pelicans,48-34,7-3,19-16
2018,10,Oklahoma City Thunder,48-34,8-10,24-11
2018,11,Utah Jazz,48-34,4-5,31-19
2018,12,Minnesota Timberwolves,47-35,7-7,25-12
2018,13,San Antonio Spurs,47-35,8-10,25-17
2018,14,Denver Nuggets,46-36,10-5,21-15
2018,15,Miami Heat,44-38,9-9,16-13
2018,16,Milwaukee Bucks,44-38,7-4,14-16
2018,17,Washington Wizards,43-39,5-7,22-12
2018,18,Los Angeles Clippers,42-40,8-2,22-19
2018,19,Detroit Pistons,39-43,4-7,19-23
2018,20,Charlotte Hornets,36-46,1-5,23-23
2018,21,Los Angeles Lakers,35-47,6-7,18-21
2018,22,New York Knicks,29-53,2-7,15-30
2018,23,Brooklyn Nets,28-54,5-7,9-27
2018,24,Chicago Bulls,27-55,9-5,6-30
2018,25,Sacramento Kings,27-55,6-5,5-32
2018,26,Orlando Magic,25-57,3-5,10-27
2018,27,Atlanta Hawks,24-58,6-8,8-35
2018,28,Dallas Mavericks,24-58,2-9,11-20
2018,29,Memphis Grizzlies,22-60,5-12,8-26
2018,30,Phoenix Suns,21-61,6-5,5-40
2019,1,Milwaukee Bucks,60-22,5-6,45-5
2019,2,Toronto Raptors,58-24,11-7,33-9
2019,3,Golden State Warriors,57-25,7-7,34-10
2019,4,Denver Nuggets,54-28,13-3,23-11
2019,5,Houston Rockets,53-29,5-7,29-12
2019,6,Portland Trail Blazers,53-29,4-6,29-8
2019,7,Philadelphia 76ers,51-31,10-8,22-16
2019,8,Utah Jazz,50-32,0-7,34-12
2019,9,Boston Celtics,49-33,5-6,24-12
2019,10,Oklahoma City Thunder,49-33,6-7,23-12
2019,11,Indiana Pacers,48-34,6-6,23-16
2019,12,Los Angeles Clippers,48-34,6-2,23-18
2019,13,San Antonio Spurs,48-34,7-4,25-16
2019,14,Brooklyn Nets,42-40,12-8,16-22
2019,15,Orlando Magic,42-40,5-6,21-21
2019,16,Detroit Pistons,41-41,6-9,16-21
2019,17,Charlotte Hornets,39-43,6-10,21-20
2019,18,Miami Heat,39-43,6-9,16-20
2019,19,Sacramento Kings,39-43,6-7,16-18
2019,20,Los Angeles Lakers,37-45,5-4,16-25
2019,21,Minnesota Timberwolves,36-46,8-5,19-22
2019,22,Dallas Mavericks,33-49,7-7,12-22
2019,23,Memphis Grizzlies,33-49,6-9,14-19
2019,24,New Orleans Pelicans,33-49,4-6,15-20
2019,25,Washington Wizards,32-50,5-6,14-23
2019,26,Atlanta Hawks,29-53,9-6,7-31
2019,27,Chicago Bulls,22-60,8-8,9-31
2019,28,Cleveland Cavaliers,19-63,5-4,6-43
2019,29,Phoenix Suns,19-63,5-5,5-40
2019,30,New York Knicks,17-65,4-7,6-41
2020,1,Milwaukee Bucks,56-17,3-2,38-8
2020,2,Toronto Raptors,53-19,6-4,23-10
2020,3,Los Angeles Lakers,52-19,7-3,25-11
2020,4,Los Angeles Clippers,49-23,8-3,32-8
2020,5,Boston Celtics,48-24,6-5,29-7
2020,6,Denver Nuggets,46-27,9-5,16-13
2020,7,Indiana Pacers,45-28,5-7,20-12
2020,8,Houston Rockets,44-28,4-5,22-14
2020,9,Miami Heat,44-29,6-4,23-11
2020,10,Oklahoma City Thunder,44-28,8-6,18-10
2020,11,Utah Jazz,44-28,7-5,18-11
2020,12,Dallas Mavericks,43-32,2-11,23-9
2020,13,Philadelphia 76ers,43-30,6-5,19-15
2020,14,Brooklyn Nets,35-37,7-7,17-19
2020,15,Portland Trail Blazers,35-39,9-3,17-18
2020,16,Memphis Grizzlies,34-39,3-4,18-21
2020,17,Phoenix Suns,34-39,4-8,15-18
2020,18,Orlando Magic,33-40,5-5,18-20
2020,19,San Antonio Spurs,32-39,10-7,10-12
2020,20,Sacramento Kings,31-41,6-8,12-18
2020,21,New Orleans Pelicans,30-42,2-6,18-15
2020,22,Washington Wizards,25-47,1-4,12-25
2020,23,Charlotte Hornets,23-42,9-8,5-25
2020,24,Chicago Bulls,22-43,6-6,7-19
2020,25,New York Knicks,21-45,7-6,8-21
2020,26,Atlanta Hawks,20-47,1-5,8-29
2020,27,Detroit Pistons,20-46,4-6,9-26
2020,28,Cleveland Cavaliers,19-46,5-5,6-28
2020,29,Minnesota Timberwolves,19-45,3-4,10-21
2020,30,Golden State Warriors,15-50,1-3,8-30
2021,1,Utah Jazz,52-20,3-2,39-7
2021,2,Phoenix Suns,51-21,9-3,23-8
2021,3,Philadelphia 76ers,49-23,7-3,27-12
2021,4,Brooklyn Nets,48-24,3-5,24-11
2021,5,Denver Nuggets,47-25,6-4,29-11
2021,6,Los Angeles Clippers,47-25,3-4,31-7
2021,7,Milwaukee Bucks,46-26,6-5,29-12
2021,8,Dallas Mavericks,42-30,5-4,26-17
2021,9,Los Angeles Lakers,42-30,7-5,22-13
2021,10,Portland Trail Blazers,42-30,10-9,19-12
2021,11,Atlanta Hawks,41-31,3-3,25-15
2021,12,New York Knicks,41-31,2-9,24-15
2021,13,Miami Heat,40-32,4-5,17-17
2021,14,Golden State Warriors,39-33,6-4,25-18
2021,15,Memphis Grizzlies,38-34,3-7,23-21
2021,16,Boston Celtics,36-36,7-5,17-12
2021,17,Washington Wizards,34-38,11-8,14-20
2021,18,Indiana Pacers,34-38,5-4,15-17
2021,19,Charlotte Hornets,33-39,9-4,14-24
2021,20,San Antonio Spurs,33-39,7-8,18-20
2021,21,Chicago Bulls,31-41,3-5,16-20
2021,22,New Orleans Pelicans,31-41,3-10,13-21
2021,23,Sacramento Kings,31-41,10-5,12-22
2021,24,Toronto Raptors,27-45,3-6,17-19
2021,25,Minnesota Timberwolves,23-49,4-6,9-25
2021,26,Cleveland Cavaliers,22-50,4-2,11-37
2021,27,Oklahoma City Thunder,22-50,7-5,5-36
2021,28,Orlando Magic,21-51,3-5,6-35
2021,29,Detroit Pistons,20-52,1-8,14-31
2021,30,Houston Rockets,17-55,3-4,8-37
2022,1,Phoenix Suns,64-18,6-2,37-9
2022,2,Memphis Grizzlies,56-26,5-3,33-17
2022,3,Golden State Warriors,53-29,6-5,34-10
2022,4,Miami Heat,53-29,3-6,31-15
2022,5,Dallas Mavericks,52-30,7-5,27-14
2022,6,Boston Celtics,51-31,3-9,35-9
2022,7,Milwaukee Bucks,51-31,4-2,31-15
2022,8,Philadelphia 76ers,51-31,6-6,28-11
2022,9,Utah Jazz,49-33,1-6,34-10
2022,10,Denver Nuggets,48-34,8-3,23-20
2022,11,Toronto Raptors,48-34,7-6,25-14
2022,12,Chicago Bulls,46-36,4-4,23-20
2022,13,Minnesota Timberwolves,46-36,4-4,28-21
2022,14,Brooklyn Nets,44-38,8-4,20-20
2022,15,Cleveland Cavaliers,44-38,10-4,22-19
2022,16,Atlanta Hawks,43-39,7-3,24-18
2022,17,Charlotte Hornets,43-39,6-8,24-23
2022,18,Los Angeles Clippers,42-40,10-5,20-21
2022,19,New York Knicks,37-45,5-6,19-23
2022,20,New Orleans Pelicans,36-46,4-3,23-30
2022,21,Washington Wizards,35-47,12-6,11-27
2022,22,San Antonio Spurs,34-48,6-5,19-24
2022,23,Los Angeles Lakers,33-49,5-7,13-22
2022,24,Sacramento Kings,30-52,7-8,11-30
2022,25,Portland Trail Blazers,27-55,1-5,11-41
2022,26,Indiana Pacers,25-57,3-14,14-19
2022,27,Oklahoma City Thunder,24-58,7-6,9-32
2022,28,Detroit Pistons,23-59,7-6,6-33
2022,29,Orlando Magic,22-60,2-7,6-39
2022,30,Houston Rockets,20-62,3-9,9-44
2023,1,Milwaukee Bucks,58-24,6-1,30-15
2023,2,Boston Celtics,57-25,5-8,31-11
2023,3,Philadelphia 76ers,54-28,10-5,26-11
2023,4,Denver Nuggets,53-29,7-6,29-15
2023,5,Cleveland Cavaliers,51-31,5-8,33-11
2023,6,Memphis Grizzlies,51-31,3-6,31-17
2023,7,Sacramento Kings,48-34,9-7,19-13
2023,8,New York Knicks,47-35,10-4,23-13
2023,9,Brooklyn Nets,45-37,10-4,22-17
2023,10,Phoenix Suns,45-37,4-9,28-17
2023,11,Golden State Warriors,44-38,4-8,24-16
2023,12,Los Angeles Clippers,44-38,4-6,20-21
2023,13,Miami Heat,44-38,14-8,12-13
2023,14,Los Angeles Lakers,43-39,8-5,19-19
2023,15,Minnesota Timberwolves,42-40,6-7,15-16
2023,16,New Orleans Pelicans,42-40,4-6,25-20
2023,17,Atlanta Hawks,41-41,10-7,19-15
2023,18,Toronto Raptors,41-41,4-10,23-16
2023,19,Chicago Bulls,40-42,4-7,24-19
2023,20,Oklahoma City Thunder,40-42,7-7,21-15
2023,21,Dallas Mavericks,38-44,8-12,11-12
2023,22,Utah Jazz,37-45,10-8,13-16
2023,23,Indiana Pacers,35-47,8-7,9-25
2023,24,Washington Wizards,35-47,7-6,19-21
2023,25,Orlando Magic,34-48,5-6,16-24
2023,26,Portland Trail Blazers,33-49,8-7,18-28
2023,27,Charlotte Hornets,27-55,3-3,8-35
2023,28,Houston Rockets,22-60,5-4,6-36
2023,29,San Antonio Spurs,22-60,3-3,6-42
2023,30,Detroit Pistons,17-65,2-8,6-37
2024,1,Boston Celtics,64-18,6-7,42-5
2024,2,Denver Nuggets,57-25,6-6,28-10
2024,3,Oklahoma City Thunder,57-25,6-3,32-10
2024,4,Minnesota Timberwolves,56-26,7-6,32-10
2024,5,Los Angeles Clippers,51-31,6-4,28-17
2024,6,Dallas Mavericks,50-32,5-2,31-21
2024,7,New York Knicks,50-32,4-3,32-16
2024,8,Milwaukee Bucks,49-33,4-6,25-16
2024,9,New Orleans Pelicans,49-33,1-7,32-18
2024,10,Phoenix Suns,49-33,8-6,29-14
2024,11,Cleveland Cavaliers,48-34,9-5,24-16
2024,12,Indiana Pacers,47-35,6-5,30-16
2024,13,Los Angeles Lakers,47-35,11-4,20-25
2024,14,Orlando Magic,47-35,6-9,27-20
2024,15,Philadelphia 76ers,47-35,3-4,27-18
2024,16,Miami Heat,46-36,8-4,21-15
2024,17,Golden State Warriors,46-36,4-11,24-12
2024,18,Sacramento Kings,46-36,6-5,26-19
2024,19,Houston Rockets,41-41,8-5,23-17
2024,20,Chicago Bulls,39-43,6-8,12-25
2024,21,Atlanta Hawks,36-46,9-6,15-21
2024,22,Brooklyn Nets,32-50,4-6,17-28
2024,23,Utah Jazz,31-51,5-8,15-33
2024,24,Memphis Grizzlies,27-55,6-3,11-31
2024,25,Toronto Raptors,25-57,5-10,10-30
2024,26,San Antonio Spurs,22-60,5-7,12-31
2024,27,Charlotte Hornets,21-61,7-3,5-43
2024,28,Portland Trail Blazers,21-61,5-6,5-38
2024,29,Washington Wizards,15-67,4-5,6-35
2024,30,Detroit Pistons,14-68,1-7,8-39